"LOCATION_NAME","TSN","LATITUDE","LONGITUDE","PHONE","EFA_ID","ADDRESS","FACILITIES","ACCESSIBILITY","TRANSPORT_MODE"
"Bankstown Station","220010","-33.91786454","151.0346869","02 9563 7160","10101401","North Tce, Bankstown NSW 2200","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Barangaroo Wharf","2000441","-33.864377","151.200591","","10102039","Wulugul Walk, Barangaroo NSW 2000","Opal card top up or single trip ticket machine | Emergency help point","This location is wheelchair accessible | Hearing loop | PA system for announcements | Tactile surfaces","Ferry"
"Bardwell Park Station","220710","-33.93161666","151.1248574","02 9563 7428","10101410","Hartill-Law Ave, Bardwell Park NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Bargo Station","257420","-34.29136493","150.5802091","02 4684 1320","10101303","Hume Hwy, Bargo NSW 2574","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train, Bus"
"Barraba Coach Stop","23472","-30.380272","150.609609","","10150015","Alice St before Queen St, Barraba NSW 2347","","","Coach"
"Bathurst Station","279538","-33.42562703","149.5832161","13 22 32","10101281","Keppel St, Bathurst NSW 2795","Bike racks | Commuter car park | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Bus, Taxi"
"Batlow Coach Stop","27301","-35.520277","148.14722","","10150240","Memorial Ave at Pioneer St, Batlow NSW 2730","","","Coach"
"Beckom Coach Stop","26652","-34.331341","146.958477","","10150171","Service Station, Newell Hwy, Beckom NSW 2665","","","Coach"
"Beecroft Station","211910","-33.74995417","151.0662982","02 9847 8421","10101197","Wongala Cres, Beecroft NSW 2119","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Beenleigh Coach Stop","42071","-27.717673","153.204518","","10150020","Beenleigh Station, Coach Terminal, Alamein St, Beenleigh QLD 4207","","","Coach"
"Bega Coach Stop","25503","-36.673857","149.842188","","10150291","Church St at Carp St, Bega NSW 2550","","","Bus, Coach"
"Bell Station","278620","-33.50568554","150.2788861","02 4787 8452","10101272","Bells Line of Road, Bell NSW 2786","Emergency help point | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train"
"Bellambi Station","251810","-34.36331842","150.9099025","02 4223 5579","10101367","Bellambi Lane, Bellambi NSW 2518","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Level crossing | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Bellata Station","23971","-29.9183","149.7905","13 22 32","10155045","Newell Hwy, Bellata NSW 2397","","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Short platforms, please see the train guard","Train"
"Belmore Station","219210","-33.91721798","151.0887332","02 9563 7578","10101397","Burwood Rd, Belmore NSW 2192","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bemboka Coach Stop","25501","-36.627333","149.568778","","10150295","General Store, Snowy Mountains Hwy, Bemboka NSW 2550","","","Coach"
"Berala Station","214120","-33.87183567","151.0324418","02 9752 8813","10101390","Woodburn Rd, Berala NSW 2141","Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is wheelchair accessible | PA system for announcements | Lift","Train, Bus, Taxi"
"Beresfield Station","232230","-32.79894599","151.6578627","02 4962 9944","10101172","Addison St, Beresfield NSW 2322","Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Berowra Station","208110","-33.6236572","151.1529711","02 9847 8496","10101131","Pacific Hwy, Berowra NSW 2081","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","This location is wheelchair accessible | Hearing loop | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Berridale Coach Stop (northbound)","26282","-36.365118","148.82788","","10161931","Berridale Inn, Jindabyne Rd, Berridale NSW 2628","","","Coach"
"Berridale Coach Stop (southbound)","26281","-36.365863","148.827031","","10161932","Berridale Lions Park, Jindabyne Rd, Berridale NSW 2628","","","Coach"
"Berry Station","253510","-34.78033267","150.6969659","02 4464 1022","10101388","Station Rd, Berry NSW 2535","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Beverly Hills Station","220910","-33.94884857","151.0816922","02 9563 7650","10101413","Morgan St, Beverly Hills NSW 2209","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bexley North Station","220720","-33.93756601","151.1133973","02 9563 7613","10101411","Kingsgrove Ave, Bexley North NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Bingara Coach Stop (northbound)","240421","-29.868516","150.572172","","10150275","Cunningham St at Maitland St, Bingara NSW 2404","","","Coach"
"Bingara Coach Stop (southbound)","240422","-29.869512","150.572223","","10150275","Maitland St after Cunningham St, Bingara NSW 2404","","","Coach"
"Binnaway Coach Stop","23951","-31.55185","149.378649","","10150219","Binnaway Post Office, Bullinda St, Binnaway NSW 2395","","","Coach"
"Birchgrove Wharf","20412","-33.84645581","151.1863405","","10102007","Louisa Rd, Birchgrove NSW 2041","Emergency help point | No Opal card top up or single trip ticket sales","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Ferry"
"Birrong Station","214320","-33.8932786","151.0240413","02 9379 7727","10101403","Rodd St, Birrong NSW 2143","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train"
"Blackheath Station","278510","-33.63288104","150.284345","02 4780 3992","10101270","Railway Pde, Blackheath NSW 2785","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Level crossing | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Blacktown Station","214810","-33.76822903","150.9075105","02 9851 7212","10101235","Main St, Blacktown NSW 2148","Bike lockers | Bike racks | Bike shed | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Blaxland Station","277410","-33.74357659","150.6095957","02 4739 1620","10101256","Station St, Blaxland NSW 2774","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Blayney Station","27991","-33.52704","149.254516","13 22 32","10155031","Railway Ln, Blayney NSW 2799","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train"
"Bogan Gate Coach Stop","28761","-33.107693","147.803932","","10150229","General Store, Station St, Bogan Gate NSW 2876","","","Coach"
"Boggabri Station","23821","-30.703834","150.039827","13 22 32","10155054","Oakham St, Boggabri NSW 2382","Emergency help point","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements | Short platforms, please see the train guard","Train"
"Bomaderry Station","254110","-34.85377666","150.6098088","02 4423 0141","10101389","Meroo St, Bomaderry NSW 2541","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bombala Coach Stop","26322","-36.911161","149.240322","","10150052","Forbes St at Maybe St, Bombala NSW 2632","","","Coach"
"Bombo Station","253320","-34.6580285","150.8539755","02 4223 5613","10101385","Princes Hwy, Bombo NSW 2533","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Taxi rank","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi"
"Bondi Junction Station","202210","-33.89120228","151.2483843","02 9379 4843","10101109","Grafton St, Bondi Junction NSW 2022","Bike lockers | Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Booragul Station","228410","-32.97142254","151.6046902","02 4962 9437","10101152","Station St, Booragul NSW 2284","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train"
"Bourke Coach Stop","28401","-30.094494","145.935178","","10150352","Bourke Visitor Information Centre, Anson St, Bourke NSW 2840","","","Coach"
"Bowral Station","257610","-34.47812317","150.4166585","02 4861 2045","10101306","Station St, Bowral NSW 2576","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Branxton Station","233510","-32.66225215","151.3456449","02 6543 1018","10101189","Railway St, Branxton NSW 2335","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors","Train"
"Bredbo Coach Stop","26261","-35.955665","149.14802","","10150178","Service Station,Monaro Hwy, Bredbo NSW 2626","","","Coach"
"Brewarrina Coach Stop","28391","-29.96192","146.861301","","10150252","Belmore St after Bathurst St, Brewarrina NSW 2839","","","Coach"
"Brisbane (Roma Street) Station","40002","-27.46577","153.018781","","10155061","Roma St, Brisbane QLD 4000","","","Train, Coach"
"Broadmeadow Station","229210","-32.92301689","151.734686","02 4962 9122","10101160","Graham Rd, Broadmeadow NSW 2292","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | This location is wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars | Lift | Tactile surfaces","Train, Coach, Bus, Taxi"
"Broken Hill Station","28801","-31.959275","141.466665","13 22 32","10155000","Crystal St, Broken Hill NSW 2880","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi"
"Broken Hill Town Coach Stop","28802","-31.960181","141.460489","","10150203","Broken Hill Visitor Information Centre, Bromide St, Broken Hill NSW 2880","","","Coach"
"Brunswick Heads Coach Stop","24832","-28.54016","153.550552","","10150338","Brunswick Heads Information Centre, Park St, Brunswick Heads NSW 2483","","","Coach, Bus"
"Bullaburra Station","278410","-33.72360616","150.4146074","02 4759 1052","10101265","Great Western Hwy, Bullaburra NSW 2784","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Bulli Station","251610","-34.33448098","150.9147439","02 4223 5577","10101365","Railway St, Bulli NSW 2516","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | PA system for announcements","Train, Bus, Taxi"
"Bundanoon Station","257810","-34.65613474","150.2987371","02 4868 1115","10101310","Railway Ave, Bundanoon NSW 2578","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Level crossing | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Bungendore Station","26211","-35.255778","149.446409","13 22 32","10155034","Majara St, Bungendore NSW 2621","Commuter car park | Toilets","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard","Train"
"Burleigh Heads Coach Stop (northbound)","42201","-28.089973","153.452729","","10150242","Burleigh Heads Bowling Club, Gold Coast Hwy, Burleigh Heads QLD 4220","","","Coach, Bus"
"Burleigh Heads Coach Stop (southbound)","42202","-28.088426","153.451792","","10150243","Gold Coast Hwy at The Esplanade, Burleigh Heads QLD 4220","","","Coach, Bus"
"Burradoo Station","257620","-34.49401919","150.3983388","02 4861 2045","10101307","Station St, Burradoo NSW 2576","Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train"
"Burwood Station","213410","-33.87731465","151.1047622","02 9752 8734","10101207","Railway Pde, Burwood NSW 2134","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Byron Bay Coach Stop","24811","-28.644828","153.612473","","10150195","Byron Bay Visitor Information Centre, Jonson St, Byron Bay NSW 2481","","","Coach, Bus"
"Cabarita Wharf","21371","-33.84096251","151.1164853","","10102031","Cabarita Rd, Cabarita NSW 2137","Bike lockers | Commuter car park | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | PA system for announcements","Bus, Ferry"
"Cabramatta Station","216620","-33.89486655","150.9388206","02 9765 1234","10101287","Railway Pde, Cabramatta NSW 2166","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Camellia Station","214210","-33.81873435","151.0243009","02 9848 9212","10101222","Grand Ave, Camellia NSW 2142","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible payphone","Hearing loop | Level crossing | This location is not wheelchair accessible | PA system for announcements","Train"
"Campbelltown Station","256020","-34.06383549","150.813929","02 4629 0721","10101296","Hurley St, Campbelltown NSW 2560","Bike lockers | Bike racks | Bike shed | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Campsie Station","219410","-33.91048116","151.1026308","02 9718 3020","10101396","Beamish St, Campsie NSW 2194","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Canberra Civic Coach Stop","26011","-35.278997","149.127618","","10150073","Canberra House, West Row, Canberra ACT 2601","","","Coach, Bus"
"Canberra Hospital Coach Stop","26051","-35.34638","149.101761","","10150327","Main entrance, Hospital Rd, Garran ACT 2605","","","Coach, Bus"
"Canberra John James Hospital Coach Stop","26001","-35.318475","149.095764","","10150034","Strickland Cres, Deakin ACT 2600","","","Coach, Bus"
"Canberra Station","26041","-35.319272","149.149396","13 22 32","10155022","Burke Cres, Kingston ACT 2604","Commuter car park | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Taxi"
"Canley Vale Station","216610","-33.88679793","150.943987","02 9765 1102","10101286","Railway Pde, Canley Vale NSW 2166","Commuter car park | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Canowindra Coach Stop","28041","-33.56361","148.65979","","10150114","Museum Memorial Park, Blatchford St, Canowindra NSW 2804","","","Coach"
"Canterbury Station","219320","-33.91167214","151.1182133","02 9563 7678","10101395","Canterbury Rd, Canterbury NSW 2193","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Capitol Square Light Rail","2000255","-33.87975438","151.2056556","","10101442","Hay St, Haymarket NSW 2000","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Light rail"
"Cardiff Station","228520","-32.94182388","151.6629801","02 4962 9437","10101157","Main Rd, Cardiff NSW 2285","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Caringbah Station","222910","-34.04161039","151.1227476","02 9522 1249","10101349","The Kingsway, Caringbah NSW 2229","Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Carlingford Station","211810","-33.78220108","151.0470507","02 9848 9025","10101226","Lloyds Ave, Carlingford NSW 2118","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Train, Bus"
"Carlton Station","221810","-33.96826632","151.1243369","02 9563 7612","10101337","Railway Pde, Carlton NSW 2218","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
